,titles,prices,descs,small_imgs,big_imgs1,big_imgs2,big_imgs3,energys,carbonhydrates,proteins,fats,minerals,vitamins,is_in_stock,harvest_year,measures
10,Campari Tomatoes,$11.00," Description Campari is a type of tomato, noted for its juiciness, high sugar level, low acidity, and lack of mealiness. Camparis are deep red and larger than a cherry tomato, but smaller and rounder than a plum tomato. This tomatoes variety is a handy ingredient in your kitchen as it can be nourished raw, salads, snacks and other cooking. ",https://cdn.shopify.com/s/files/1/1148/3974/products/Campari-Tomatoes_grande.jpeg?v=1456211143,https://cdn.shopify.com/s/files/1/1148/3974/products/Campari-Tomatoes.jpeg?v=1456211143,https://cdn.shopify.com/s/files/1/1148/3974/products/Campari-Tomatoes-closer_b2dc02f3-fb47-4ed9-b818-37c7660f3a30.jpeg?v=1456211143,,18Kcal,3.9g,0.2g,0.9g, Ca Zn Ma P Mn , a c e k , In stock , Harvest 2015 , kg 
11,Capia Pepper,$6.95," Description Capia peppers are rich in ascorbic acid and carotene. Grill it or just eat it raw. The Capia pepper is a delicatecy of different southern cousines, now organic at your kitchen. Just give it a try and see how it taste in your paella. ",https://cdn.shopify.com/s/files/1/1148/3974/products/Capia-Pepper-above_grande.jpeg?v=1456211049,https://cdn.shopify.com/s/files/1/1148/3974/products/Capia-Pepper-above.jpeg?v=1456211049,https://cdn.shopify.com/s/files/1/1148/3974/products/Capia-Pepper.jpeg?v=1456211049,,20Kcal,4.64g,0.17g,0.86g, Ca Fe Zn Mg P Mn , b1 b6 c k , In stock , Harvest 2015 , kg 
12,Cherry Tomatoes,$3.74," These Cherry tomatoes just might be the sweetest little tomatoes we’ve ever offered. It is all thanks to perfect weather conditions this season. Very small, firm and juicy, it’s a great choice when you’re looking for a fresh and nutritious option for snacking. And when you’re making salads, just wash and toss in – no slicing required. ",https://cdn.shopify.com/s/files/1/1148/3974/products/Cherry-tomatoes-above_grande.jpeg?v=1472537367,,,,18Kcal,3.9g,0.2g,0.9g,,, In stock , Harvest 2015 , red 
13,Cherry Tomatoes 2016,$6.90," These Cherry tomatoes just might be the sweetest little tomatoes we’ve ever offered. It is all thanks to perfect weather conditions this season. Very small, firm and juicy, it’s a great choice when you’re looking for a fresh and nutritious option for snacking. And when you’re making salads, just wash and toss in – no slicing required. ",https://cdn.shopify.com/s/files/1/1148/3974/products/cherry-tomatoes_grande.jpg?v=1473490001,,,,18Kcal,3.9g,0.2g,0.9g,,, In stock , Harvest 2016 , kg 
14,Chives,$2.98," Sweet, mild-onion flavored chives are fresh top greens in the onion family of bulb vegetables. Its stiff, hollow, tubular leaves appear similar to that of onions, but smaller in diameter, and appear somewhat like grass from a distance. ",https://cdn.shopify.com/s/files/1/1148/3974/products/chives_grande.jpg?v=1473488140,,,,20 kcal,4 g,2 g,0 g,,, In stock , Harvest 2016 , g 
15,Cucumber,$16.80," The heart-shaped silhouette of the strawberry is the first clue that this fruit is good for you. These potent little packages protect your heart, increase HDL (good) cholesterol, lower your blood pressure, and guard against cancer. ",https://cdn.shopify.com/s/files/1/1148/3974/products/cucumber_grande.jpg?v=1473489264,,,, 16kcal,3.6 g,0.7 g,0.1 g,,, In stock , Harvest 2016 , kg 
16,Damson Plums,$1.99," Description Damson plums are very popular and widespread cultivar. Probably it is the first one that comes in mind when you hear the word ""plum"". The main characteristic of these plums is its distinctive rich flavour; unlike other plums, it is both high in sugars and highly astringent. The fruit of the damson has a distinctive, somewhat astringent taste, and are widely used for culinary purposes, particularly in fruit preserves or jam. ",https://cdn.shopify.com/s/files/1/1148/3974/products/Damson_grande.jpeg?v=1456211083,https://cdn.shopify.com/s/files/1/1148/3974/products/Damson.jpeg?v=1456211083,https://cdn.shopify.com/s/files/1/1148/3974/products/Damson-close-up.jpeg?v=1456211083,,46 kcal,11.42 g,0.7g,0.28 g, Ca Fr Mg Mn P Zn , a b1 b2 b3 b5 b6 c e k , In stock , Harvest 2015 , kg 
17,Eggplant,$7.50," The eggplant, also known as aubergine, garden egg, guinea squash, melongene, and brinjal, is usually distinguishable by its signature egg-like shape and vibrant purple color. Although the dark purple version of eggplants is best known, they actually come in a variety of shapes and colors from small and oblong to long and skinny, from shades of purple to white and green. ",https://cdn.shopify.com/s/files/1/1148/3974/products/eggplant_grande.jpg?v=1476190860,,,,25kcal,6g,1g,0.2g,,, In stock , Harvest 2016 , kg 
18,Empire Apples,$2.89," Description Empire apples are red, juicy, firm, crunchy and sweet. We have already been gathering them during September and October for fourteen years. This delicious apple cultivar will be in good usable conditions until January. Empire apples are excellent for eating and salads, and good for sauce, baking, pies and freezing. We root for these apples as an ideal lunch-box apple, not least because it does not bruise easily. ",https://cdn.shopify.com/s/files/1/1148/3974/products/Empire-Apple_grande.jpeg?v=1456211165,https://cdn.shopify.com/s/files/1/1148/3974/products/Empire-Apple.jpeg?v=1456211165,https://cdn.shopify.com/s/files/1/1148/3974/products/Apple-cuts.jpeg?v=1456211165,https://cdn.shopify.com/s/files/1/1148/3974/products/Apples-horizontal.jpeg?v=1456211165, 52 kcal,13.81 g,,0.17 g, Ca Fr Mg Mn P , a b1 b2 b3 b5 b6 b9 c e k , In stock , Harvest 2015 , kg 
19,Fuji Apples,$9.39," Description Fuji apples are very special ones as they contain the taste of two absolutely different apple varieties Red Delicious and old Virginia Ralls Genet. These apples have a dense flesh that is sweeter and crisper than many other apple cultivars, making them popular with consumers not only in our region but around the world as well. It is not the only advantage they have. Fuji is a long liver, they can be kept on shelves for a long time compared to other apples, even without refrigeration. With refrigeration, Fuji apples can remain fresh for up to a year. It is exactly what you need if you are looking for a fruit store as a backup. ",https://cdn.shopify.com/s/files/1/1148/3974/products/Fuji-single_grande.jpeg?v=1456211065,https://cdn.shopify.com/s/files/1/1148/3974/products/Fuji-single.jpeg?v=1456211065,https://cdn.shopify.com/s/files/1/1148/3974/products/Fuji.jpeg?v=1456211065,, 52 kcal,13.81 g,,0.17 g, Ca Fr Mg Mn P , a b1 b2 b3 b5 b6 b9 c e k , In stock , Harvest 2014 , kg 
20,Gala Apples,$4.39, Description Gala is one of our favorite apple cultivars. We started growing this particular apple cultivar in 1989 in our familial garden which was renovated two years before. Since that times Gala Apples are produced by our family and distributed at the local markets. Our cultivar has an exceptionally sweet taste with a mild flavor. Gala apples are a perfect choice to be added to salads or cooked. We highly recommend them as a constituent element of delicious sauces. ,https://cdn.shopify.com/s/files/1/1148/3974/products/apples_grande.jpeg?v=1456211105,https://cdn.shopify.com/s/files/1/1148/3974/products/apples.jpeg?v=1456211105,https://cdn.shopify.com/s/files/1/1148/3974/products/apple_pyramid.jpeg?v=1456211105,https://cdn.shopify.com/s/files/1/1148/3974/products/Apple_crepes_with_raspberryon_top.jpeg?v=1456211105, 52 kcal,"13,81 g",,0.2 g, Ca Fr Mg Mn Na P K Zn , a b1 b2 b3 b5 b6 b9 c e k , In stock , Harvest 2015 , kg 
21,Golden Delicious Apples,$2.30," Description It's already has been a well-known cultivar and beloved deeply by customers by its very sweet taste. Golden Delicious is a favorite fruit for salads, apple sauce, and apple butter. We recommend this cultivar to try as a filling of the pie. We find its delicious sweet taste a worth constituent to this dessert. Golden Delicious apples keep their shape well after baking, so you'll get beautiful slices that would make your pie looks perfect. ",https://cdn.shopify.com/s/files/1/1148/3974/products/Golden-Delicious-Apples_grande.jpeg?v=1456211059,https://cdn.shopify.com/s/files/1/1148/3974/products/Golden-Delicious-Apples.jpeg?v=1456211059,https://cdn.shopify.com/s/files/1/1148/3974/products/Golden-Delicious-Apples-cut-off.jpeg?v=1456211059,https://cdn.shopify.com/s/files/1/1148/3974/products/Golden-Delicious-Yellow-Background.jpeg?v=1456211059, 52 kcal,13.81 g,,0.17 g, Ca Fr Mg Mn P , a b1 b2 b3 b5 b6 b9 c e k , In stock , Harvest 2015 , kg 
22,Green Beans,$2.99," Green beans are eaten around the world, and are marketed canned, frozen, and fresh. Green beans are often steamed, boiled, stir-fried, or baked in casseroles. A dish with green beans popular throughout the United States, particularly at Thanksgiving, is green bean casserole, which consists of green beans, cream of mushroom soup, and French fried onions. ",https://cdn.shopify.com/s/files/1/1148/3974/products/green-beans_grande.jpg?v=1473489516,,,,31kcal,7 g,1.8 g,0.1 g,,, In stock , Harvest 2016 , lb 
23,Green Mixed Spice,$9.89," Description This mixture works best for soups, stews and salads. We also highly recommend to try it as a basis of your parsley pesto season. This spice would make it extremely delightful. It will add a delicious aroma to your cooking so no one can ignore it. Our pepper mixed spice is created based on a special proportion of each ingredient that makes it a perfect addition to your everyday meal. This mix consists of dried and powered basil, parsley, oregano, rosemary and thyme. ",https://cdn.shopify.com/s/files/1/1148/3974/products/Green-Mixed-Spice_grande.jpeg?v=1456211020,https://cdn.shopify.com/s/files/1/1148/3974/products/Green-Mixed-Spice.jpeg?v=1456211020,https://cdn.shopify.com/s/files/1/1148/3974/products/Green-Mixed-Spice-with-Spoon.jpeg?v=1456211020,https://cdn.shopify.com/s/files/1/1148/3974/products/Green-Mixed-Spice-Decorated.jpeg?v=1456211020,,,,,,, In stock , Harvest 2014 , g 
24,Leek,$13.00," Leeks have a mild, onion-like taste. In its raw state, the vegetable is crunchy and firm. The edible portions of the leek are the white base of the leaves (above the roots and stem base), the light green parts, and to a lesser extent the dark green parts of the leaves. One of the most popular uses is for adding flavor to stock. ",https://cdn.shopify.com/s/files/1/1148/3974/products/leek_grande.jpg?v=1473490100,,,,61Kcal,14g,0.3g,0.9g,,, In stock , Harvest 2016 , kg 
25,Lime,$6.00," Wonderful for bringing out the flavor of other foods, limes, while similar to lemons, have their own distinctive citrus flavor. Lime juice even has more acid and natural sugar content than its close cousin lemon juice. While some limes, known as sweet limes, contain little citric acid, the tart variety will give you the most nutritional bang for your buck. ",https://cdn.shopify.com/s/files/1/1148/3974/products/lime_grande.jpg?v=1473488514,,,,30 kcal,11 g,0.7 g,0.2 g,,, In stock , Harvest 2016 , kg 
26,Maynard Plums,$2.11," Description Maynard is one of our orchard special cultivars. Just like an apricot, the fruit flesh clings tightly to the pit. Its taste can differ from sweet to bitter sweet. The fruit is particularly aromatic that makes it especially appropriate for jams. As all plums Maynard plums are full of antioxidants. ",https://cdn.shopify.com/s/files/1/1148/3974/products/Maynard-Plum-Front_grande.jpeg?v=1456211090,https://cdn.shopify.com/s/files/1/1148/3974/products/Maynard-Plum-Front.jpeg?v=1456211090,https://cdn.shopify.com/s/files/1/1148/3974/products/Maynard-Plum-Macro.jpeg?v=1456211090,https://cdn.shopify.com/s/files/1/1148/3974/products/Maynard-plum-close-up.jpeg?v=1456211090,46 kcal,11.42 g,0.7g,0.28 g, Ca Fr Mg Mn P Zn , a b1 b2 b3 b5 b6 c e k , In stock , Harvest 2015 , kg 
27,Organic Corn Oil,$8.98," Description Our Organic Corn Oil is a cholesterol-free food product with zero grams of trans fat per individual serving. Corn oil is often used for popping popcorn and frying French fries and can be used for regular cooking in place of other oils. This 100 percent pure, cholesterol-free oil gives you a heart-healthy way to cook your favorite meals. ",https://cdn.shopify.com/s/files/1/1148/3974/products/Single-oil_grande.jpeg?v=1456211037,https://cdn.shopify.com/s/files/1/1148/3974/products/Single-oil.jpeg?v=1456211037,https://cdn.shopify.com/s/files/1/1148/3974/products/Corn-Oil-perspective.jpeg?v=1456211037,https://cdn.shopify.com/s/files/1/1148/3974/products/Oil-and-vineguard.jpeg?v=1456211037,,,,,,, In stock , Harvest 2014 , oz 
28,Organic Corn Oil 2015,$8.98," Description Our Organic Corn Oil is a cholesterol-free food product with zero grams of trans fat per individual serving. Corn oil is often used for popping popcorn and frying French fries and can be used for regular cooking in place of other oils. This 100 percent pure, cholesterol-free oil gives you a heart-healthy way to cook your favorite meals. ",https://cdn.shopify.com/s/files/1/1148/3974/products/Single-oil_b090e5f0-5e98-405e-8d0e-0ce3ba858cce_grande.jpeg?v=1456210996,https://cdn.shopify.com/s/files/1/1148/3974/products/Single-oil_b090e5f0-5e98-405e-8d0e-0ce3ba858cce.jpeg?v=1456210996,https://cdn.shopify.com/s/files/1/1148/3974/products/Corn-Oil-perspective_06d7de99-ae57-4a32-b378-4d226941471d.jpeg?v=1456210996,https://cdn.shopify.com/s/files/1/1148/3974/products/Oil-and-vineguard_f8e5d40b-4319-4041-a6c4-7c8a277ea8ba.jpeg?v=1456210996,,,,,,, In stock , Harvest 2015 , oz 
29,Paprika & Cayenne Pepper Mixed Spice,$15.50," Description A perfect combination of spicy flavor to enrich the taste of your dishes. We recommend to use it as a key ingredient in a variety of hot sauces, particularly those employing vinegar as a preservative. Our pepper mixed spice is created based on a special proportion of each ingredient that makes it perfect to be spread on sandwiches or similar items to add a spicy flavor. This mix consists of paprika and cayenne pepper, clove, mustard, zest and oregano. ",https://cdn.shopify.com/s/files/1/1148/3974/products/Pepper-Mixed-Spice_grande.jpeg?v=1456211025,https://cdn.shopify.com/s/files/1/1148/3974/products/Pepper-Mixed-Spice.jpeg?v=1456211025,https://cdn.shopify.com/s/files/1/1148/3974/products/Pepper-Mixed-Spice-with-Spoon.jpeg?v=1456211025,https://cdn.shopify.com/s/files/1/1148/3974/products/Spoons-Collection.jpeg?v=1456211025,,,,,,, In stock , Harvest 2014 , g 
30,Parsley,$1.75," Description Use curly leaf parsley as a garnish on your main dishes. We recommend this fresh herbal as a garnish on potato dishes (boiled or mashed potatoes), on rice dishes (risotto or pilaf), on fish, fried chicken, lamb, goose, and steaks, as well in meat or vegetable stews (including shrimp creole, beef bourguignon, goulash, or chicken paprikash). ",https://cdn.shopify.com/s/files/1/1148/3974/products/Parsley_grande.jpeg?v=1456211045,https://cdn.shopify.com/s/files/1/1148/3974/products/Parsley.jpeg?v=1456211045,https://cdn.shopify.com/s/files/1/1148/3974/products/Parsley-close-up.jpeg?v=1456211045,https://cdn.shopify.com/s/files/1/1148/3974/products/Parsley-above.jpeg?v=1456211045,36Kcal,6.33g,0.79g,2.97g, Ca Fe Zn Mg K Mn , a b3 b9 c k , Out of stock , Harvest 2015 , 
31,Peaches,$5.99, Description Our peaches are extremely sweet to the taste with soft and thin skin. This particular cultivar is low-acid and white-fleshed that makes it a perfect candidate for the fresh desserts due to the juicy taste and entrancing aroma. ,https://cdn.shopify.com/s/files/1/1148/3974/products/Peaches-in-the-pot_grande.jpeg?v=1456211131,https://cdn.shopify.com/s/files/1/1148/3974/products/Peaches-in-the-pot.jpeg?v=1456211131,https://cdn.shopify.com/s/files/1/1148/3974/products/peaches.jpeg?v=1456211131,https://cdn.shopify.com/s/files/1/1148/3974/products/Peaches-cut-off.jpeg?v=1456211131,39 kcal,9.54 g,,0.91g, Fr Mg Mn P K Z , a b1 b2 b3 b5 b6 c e k , In stock , Harvest 2015 , kg 
32,Radishes,$2.49," Description Our radishes are crisp enough and feels refreshening pungent that makes them perfect for salads, but they also may appear in many other dishes. Radish leaves are sometimes used in spicy recipes, like potato soup or as a sauteed side dish. You can also find them as a blended constituent with fruit juices in some piquant recipes. ",https://cdn.shopify.com/s/files/1/1148/3974/products/Radishes_grande.jpeg?v=1456211127,https://cdn.shopify.com/s/files/1/1148/3974/products/Radishes.jpeg?v=1456211127,https://cdn.shopify.com/s/files/1/1148/3974/products/Radishes-side-close-up.jpeg?v=1456211127,https://cdn.shopify.com/s/files/1/1148/3974/products/Radishes-rightside.jpeg?v=1456211127,0.68g,,,, K Fr Mg Mn P Ca Z , b2 b5 b6 b9 c , Out of stock , Harvest 2015 , 
33,Raspberries,$10.98," Description We started growing raspberries in 90’s on our family farm near Cupar. Our cultivar has exeptional sweet taste with astringent flavor. These individually gathered berries are a wonderful taste of summer in your everyday meal. Raspberries are perfect in smoothies, baking, on pancakes or just plain old snacking out of the bag! Enjoy! ",https://cdn.shopify.com/s/files/1/1148/3974/products/raspberries_grande.jpeg?v=1456211149,https://cdn.shopify.com/s/files/1/1148/3974/products/raspberries.jpeg?v=1456211149,https://cdn.shopify.com/s/files/1/1148/3974/products/raspberries-2.jpeg?v=1456211149,https://cdn.shopify.com/s/files/1/1148/3974/products/raspberries-pie.jpeg?v=1456211149, 53 kcal,11.94 g,,0.65 g, Ca Fr Mg Mn P K Zn , b1 b2 b3 b5 b6 b9 c e k , In stock , Harvest 2015 , Pint 
34,Red Bell Pepper,$5.04," Description Red pepper is rich source of antioxidants and vitamin C. The level of carotene, like lycopene, is nine times higher particularly in Red peppers in comparison to other variaties of pepper. Red peppers have twice the vitamin C content of green peppers. Nourishing this fine pepper cultivar, you are taking care of yourself and your family providing them with a healthy and very useful food. ",https://cdn.shopify.com/s/files/1/1148/3974/products/Red-Bell-Pepper_grande.jpeg?v=1456211053,https://cdn.shopify.com/s/files/1/1148/3974/products/Red-Bell-Pepper.jpeg?v=1456211053,https://cdn.shopify.com/s/files/1/1148/3974/products/Red-Bell-Pepper-2.jpeg?v=1456211053,https://cdn.shopify.com/s/files/1/1148/3974/products/Pepper-Bundle.jpeg?v=1456211053,20Kcal,4.64g,0.17g,0.86g, Ca Fe Zn Mg P Mn , b1 b6 c k , In stock , Harvest 2015 , kg 
35,Red European Plums,$1.32," Description European plum is an ancient domesticated species, known only in cultivation, now cultivated in temperate areas worldwide and our farm is not an exception. This particular plum cultivar differs from others with globose and large enough form. They are very juicy and especially suitable for salads or other quick desserts. European plum has a firm and succulent flesh full of antioxidants. ",https://cdn.shopify.com/s/files/1/1148/3974/products/Red-plums-perspective_grande.jpeg?v=1456211139,https://cdn.shopify.com/s/files/1/1148/3974/products/Red-plums-perspective.jpeg?v=1456211139,https://cdn.shopify.com/s/files/1/1148/3974/products/Red-plum-close-up.jpeg?v=1456211139,https://cdn.shopify.com/s/files/1/1148/3974/products/Red-plums-front.jpeg?v=1456211139,46 kcal,11.42 g,0.7g,0.28 g, Ca Fr Mg Mn P Zn , a b1 b2 b3 b5 b6 c e k , In stock , Harvest 2015 , Unit 
36,Red Kabocha Squash,$2.84," Description Kabocha has an exceptional naturally sweet flavor, even sweeter in taste than butternut squash. It is similar in texture and flavor to a pumpkin and a sweet potato combined. Some kabocha can taste like Russet potatoes. The rind of a kabocha is edible, although, some cooks may peel it to speed up the cooking process, or, to suit their personal taste preferences. Kabocha is commonly utilized in side dishes and soups, or, as a substitute for potato or other squash varieties. ",https://cdn.shopify.com/s/files/1/1148/3974/products/Red-Kabocha_grande.jpeg?v=1456211099,https://cdn.shopify.com/s/files/1/1148/3974/products/Red-Kabocha.jpeg?v=1456211099,https://cdn.shopify.com/s/files/1/1148/3974/products/Pumpkin-close-up.jpeg?v=1456211099,https://cdn.shopify.com/s/files/1/1148/3974/products/Pumpkin-in-the-field.jpeg?v=1456211099,26 kcal,6.5 g,,0.1 g, Ca Fr Mg Mn P K Zn , a b1 b2 b3 b5 b6 b9c e k , kg , In stock , kg 
37,Red Mixed Spice,$7.99," Description Constituents of this mixture prove the name of it. Red Mixed Spice is full of flavored ingredients such as dried tomatoes and pepper, paprika, carrot, onion, garlic, mustard, ginger, and sea salt. We designed it specially for dishes of rice paella or risotto. It works great with a Spanish soup gazpacho or any other tomato dish. ",https://cdn.shopify.com/s/files/1/1148/3974/products/Red-Mixed-Spice_grande.jpeg?v=1456211012,https://cdn.shopify.com/s/files/1/1148/3974/products/Red-Mixed-Spice.jpeg?v=1456211012,https://cdn.shopify.com/s/files/1/1148/3974/products/Red-Mixed-Spice-with-Spoon.jpeg?v=1456211012,https://cdn.shopify.com/s/files/1/1148/3974/products/Four-Spices.jpeg?v=1456211012,,,,,,, In stock , Harvest 2014 , g 
38,Red Onions,$1.55," Description Red onions are probably the best option to use in your salads or to be eaten raw because of its light sweeter taste and particular aroma. This particular onion cultivar is very high in flavonoids which are very useful for the health. We recommend Red onions to be used as a constituent of salad, sandwich and especially burger to enrich its succulence. ",https://cdn.shopify.com/s/files/1/1148/3974/products/Red-onions_grande.jpeg?v=1456211183,https://cdn.shopify.com/s/files/1/1148/3974/products/Red-onions.jpeg?v=1456211183,https://cdn.shopify.com/s/files/1/1148/3974/products/Red-onions-close-up.jpeg?v=1456211183,https://cdn.shopify.com/s/files/1/1148/3974/products/Red-onions-from-above.jpeg?v=1456211183,40 kcal,9.34 g,,0.1 g, Ca Fr Mg Mn P K Zn , b1 b2 b5 b6 b9 c , In stock , Harvest 2014 , kg 
39,Spinach,$4.25," Description Calorie for calorie, leafy green vegetables like spinach with its delicate texture and jade green color provide more nutrients than any other food. Although spinach is available throughout the year, its season runs from March through May and from September through October when it is the freshest, has the best flavor, and is most readily available. Spinach has the bitterness of beet greens and the slightly salty flavor of Swiss chard that makes them delicious as a soup basis or filing to a pie. ",https://cdn.shopify.com/s/files/1/1148/3974/products/Spinach-front_grande.jpeg?v=1456211174,https://cdn.shopify.com/s/files/1/1148/3974/products/Spinach-front.jpeg?v=1456211174,https://cdn.shopify.com/s/files/1/1148/3974/products/Spinach-above.jpeg?v=1456211174,https://cdn.shopify.com/s/files/1/1148/3974/products/Spinach.jpeg?v=1456211174,0.4 g,"2.2 g,",,, Ca Fr Mg Mn P K Zn , a b2 b6 b9 c e k , In stock , Harvest 2015 , Bunch 
